id_data,lokasi_awal_user,durasi_perjalanan,jumlah_hari,jumlah_orang,budget,segmen_budget,jenis_transportasi,preferensi_penginapan,preferensi_kategori,preferensi_aktivitas,nama_wisata,kategori_wisata,kota_tujuan,latitude,longitude,koordinat_destinasi,alamat,deskripsi_wisata,kecocokan_kategori,kecocokan_aktivitas,kecocokan_budget,kecocokan_jarak,estimasi_jarak_km,estimasi_waktu_menit,estimasi_biaya_transportasi,estimasi_biaya_penginapan,estimasi_biaya_makan,estimasi_biaya_tiket,total_estimasi_biaya,status_budget,label_rekomendasi
BDG-TRV-0001,Kabupaten Bandung,1 hari,1,5,970000,standar,mobil,tanpa penginapan,kebun binatang,foto-foto,Floating Market Lembang,wisata kuliner,Kabupaten Bandung Barat,-6.8167,107.6187,"-6.8167,107.6187","Jl. Grand Hotel No.33E, Lembang, Kabupaten Bandung Barat","Floating Market Lembang menawarkan pengalaman kuliner, wahana keluarga, taman, dan suasana danau di kawasan Lembang.",0,1,1,1,54.58,93,327000,0,350000,75000,752000,sesuai,0
BDG-TRV-0002,Jakarta,1 hari,1,2,1761000,standar,mobil,tanpa penginapan,alam,kuliner,Curug Cimahi,wisata alam,Kabupaten Bandung Barat,-6.7986,107.5775,"-6.7986,107.5775","Kertawangi, Cisarua, Kabupaten Bandung Barat",Curug Cimahi adalah wisata air terjun di Bandung Barat dengan jalur trekking ringan dan suasana alam yang sejuk.,1,0,1,0,192.52,316,1155000,0,140000,60000,1355000,sesuai,0
BDG-TRV-0003,Depok,3 hari 2 malam,3,4,3230000,hemat,mobil,standar,wisata kuliner,foto-foto,Floating Market Lembang,wisata kuliner,Kabupaten Bandung Barat,-6.8167,107.6187,"-6.8167,107.6187","Jl. Grand Hotel No.33E, Lembang, Kabupaten Bandung Barat","Floating Market Lembang menawarkan pengalaman kuliner, wahana keluarga, taman, dan suasana danau di kawasan Lembang.",1,1,1,1,206.88,460,1241000,640000,840000,60000,2781000,sesuai,1
BDG-TRV-0004,Kota Bandung,2 hari 1 malam,2,5,1858000,hemat,motor,standar,wisata alam,alam,Kawah Putih,wisata alam,Kabupaten Bandung,-7.1662,107.402,"-7.1662,107.402","Sugihmukti, Pasirjambu, Kabupaten Bandung",Kawah Putih adalah wisata alam di Ciwidey dengan danau kawah berwarna putih kehijauan dan panorama pegunungan.,1,1,1,1,41.66,82,117000,320000,700000,150000,1287000,sesuai,1
BDG-TRV-0005,Bogor,2 hari 1 malam,2,2,1014000,standar,mobil,hemat,cafe view,kuliner,Cafe D'Pakar Bandung,cafe view,Kota Bandung,-6.8398,107.6537,"-6.8398,107.6537","Dago Pakar, Ciburial, Cimenyan, Bandung","Cafe D'Pakar Bandung adalah tempat wisata kuliner dengan suasana alam sejuk, area outdoor, dan pemandangan pepohonan di kawasan Dago Pakar.",1,1,0,1,191.66,439,1150000,180000,280000,40000,1650000,melebihi budget,0
BDG-TRV-0006,Garut,2 hari 1 malam,2,2,3655000,premium,transportasi umum,standar,museum,religi,Tangkuban Perahu,gunung,Kabupaten Bandung Barat,-6.7596,107.6098,"-6.7596,107.6098","Cikahuripan, Lembang, Kabupaten Bandung Barat",Tangkuban Perahu adalah kawasan wisata gunung berapi dengan kawah alam yang populer untuk wisata alam dan edukasi geologi.,0,0,1,1,128.61,220,463000,320000,280000,70000,1133000,sesuai,0
BDG-TRV-0007,Cimahi,4 hari 3 malam,4,3,1378000,premium,transportasi umum,hemat,cafe view,santai,Cafe D'Pakar Bandung,cafe view,Kota Bandung,-6.8398,107.6537,"-6.8398,107.6537","Dago Pakar, Ciburial, Cimenyan, Bandung","Cafe D'Pakar Bandung adalah tempat wisata kuliner dengan suasana alam sejuk, area outdoor, dan pemandangan pepohonan di kawasan Dago Pakar.",1,1,0,1,26.67,56,96000,540000,840000,60000,1536000,melebihi budget,0
BDG-TRV-0008,Bogor,2 hari 1 malam,2,2,2906000,premium,transportasi umum,hemat,edukasi,alam,Kebun Binatang Bandung,kebun binatang,Kota Bandung,-6.8902,107.607,"-6.8902,107.607","Jl. Tamansari No.71, Lebak Siliwangi, Coblong, Kota Bandung",Kebun Binatang Bandung adalah wisata edukasi keluarga yang menampilkan berbagai satwa dan area rekreasi di kawasan Tamansari.,1,0,1,1,186.84,326,673000,180000,280000,100000,1233000,sesuai,0
BDG-TRV-0009,Jakarta,2 hari 1 malam,2,5,2539000,standar,mobil,hemat,wisata religi,foto-foto,Masjid Raya Bandung,wisata religi,Kota Bandung,-6.9216,107.6068,"-6.9216,107.6068","Jl. Dalem Kaum, Balonggede, Regol, Kota Bandung",Masjid Raya Bandung merupakan destinasi wisata religi di kawasan Alun-Alun Bandung dengan arsitektur megah dan suasana pusat kota yang ramai.,1,1,1,1,152.0,271,912000,180000,700000,0,1792000,sesuai,1
BDG-TRV-0010,Garut,4 hari 3 malam,4,2,1762000,hemat,motor,hemat,kuliner,keluarga,Floating Market Lembang,wisata kuliner,Kabupaten Bandung Barat,-6.8167,107.6187,"-6.8167,107.6187","Jl. Grand Hotel No.33E, Lembang, Kabupaten Bandung Barat","Floating Market Lembang menawarkan pengalaman kuliner, wahana keluarga, taman, dan suasana danau di kawasan Lembang.",1,1,1,1,124.52,188,349000,540000,560000,30000,1479000,sesuai,1
BDG-TRV-0011,Tasikmalaya,1 hari,1,4,1780000,standar,motor,tanpa penginapan,wisata edukasi,alam,Jendela Alam,wisata edukasi,Kabupaten Bandung Barat,-6.8287,107.5976,"-6.8287,107.5976","Komplek Graha Puspa, Lembang, Kabupaten Bandung Barat","Jendela Alam adalah wisata edukasi keluarga yang mengenalkan aktivitas pertanian, peternakan, dan lingkungan alam.",1,1,1,1,204.72,450,573000,0,280000,100000,953000,sesuai,1
BDG-TRV-0012,Garut,4 hari 3 malam,4,2,4630000,premium,mobil,hemat,kuliner,religi,Martabak San Francisco Bandung,wisata kuliner,Kota Bandung,-6.9026,107.6092,"-6.9026,107.6092","Jl. Burangrang, Lengkong, Kota Bandung",Martabak San Francisco Bandung adalah destinasi kuliner legendaris yang dikenal dengan pilihan martabak manis dan martabak telur.,1,0,1,1,74.2,136,445000,540000,560000,30000,1575000,sesuai,0
BDG-TRV-0013,Bekasi,2 hari 1 malam,2,4,2224000,standar,transportasi umum,standar,museum,budaya,Museum Konferensi Asia Afrika,museum,Kota Bandung,-6.921,107.6097,"-6.921,107.6097","Jl. Asia Afrika No.65, Braga, Sumur Bandung, Kota Bandung","Museum Konferensi Asia Afrika menyajikan sejarah Konferensi Asia Afrika dan cocok untuk wisata edukasi, sejarah, serta kunjungan pelajar.",1,0,1,1,179.92,366,648000,320000,560000,60000,1588000,sesuai,0
BDG-TRV-0014,Tasikmalaya,3 hari 2 malam,3,5,610000,hemat,mobil,hemat,museum,alam,Museum Geologi Bandung,museum,Kota Bandung,-6.9007,107.6215,"-6.9007,107.6215","Jl. Diponegoro No.57, Cihaur Geulis, Cibeunying Kaler, Kota Bandung","Museum Geologi Bandung adalah destinasi edukasi yang menampilkan koleksi batuan, mineral, fosil, dan informasi sejarah bumi.",1,0,0,1,169.29,298,1016000,360000,1050000,75000,2501000,melebihi budget,0
BDG-TRV-0015,Jakarta,2 hari 1 malam,2,2,1685000,standar,transportasi umum,hemat,wisata alam,healing,Curug Cimahi,wisata alam,Kabupaten Bandung Barat,-6.7986,107.5775,"-6.7986,107.5775","Kertawangi, Cisarua, Kabupaten Bandung Barat",Curug Cimahi adalah wisata air terjun di Bandung Barat dengan jalur trekking ringan dan suasana alam yang sejuk.,1,1,1,1,238.77,543,860000,180000,280000,60000,1380000,sesuai,1
BDG-TRV-0016,Bekasi,2 hari 1 malam,2,3,1425000,hemat,motor,standar,religi,religi,Masjid Raya Bandung,wisata religi,Kota Bandung,-6.9216,107.6068,"-6.9216,107.6068","Jl. Dalem Kaum, Balonggede, Regol, Kota Bandung",Masjid Raya Bandung merupakan destinasi wisata religi di kawasan Alun-Alun Bandung dengan arsitektur megah dan suasana pusat kota yang ramai.,1,1,1,1,172.72,283,484000,320000,420000,0,1224000,sesuai,1
BDG-TRV-0017,Bekasi,1 hari,1,5,897000,hemat,transportasi umum,tanpa penginapan,kuliner,kuliner,Floating Market Lembang,wisata kuliner,Kabupaten Bandung Barat,-6.8167,107.6187,"-6.8167,107.6187","Jl. Grand Hotel No.33E, Lembang, Kabupaten Bandung Barat","Floating Market Lembang menawarkan pengalaman kuliner, wahana keluarga, taman, dan suasana danau di kawasan Lembang.",1,1,0,0,176.35,267,635000,0,350000,75000,1060000,melebihi budget,0
BDG-TRV-0018,Depok,2 hari 1 malam,2,3,1545000,premium,transportasi umum,standar,edukasi,keluarga,Kebun Binatang Bandung,kebun binatang,Kota Bandung,-6.8902,107.607,"-6.8902,107.607","Jl. Tamansari No.71, Lebak Siliwangi, Coblong, Kota Bandung",Kebun Binatang Bandung adalah wisata edukasi keluarga yang menampilkan berbagai satwa dan area rekreasi di kawasan Tamansari.,1,1,0,1,204.12,431,735000,320000,420000,150000,1625000,melebihi budget,0
BDG-TRV-0019,Jakarta,3 hari 2 malam,3,2,2525000,premium,transportasi umum,nyaman,museum,sejarah,Museum Konferensi Asia Afrika,museum,Kota Bandung,-6.921,107.6097,"-6.921,107.6097","Jl. Asia Afrika No.65, Braga, Sumur Bandung, Kota Bandung","Museum Konferensi Asia Afrika menyajikan sejarah Konferensi Asia Afrika dan cocok untuk wisata edukasi, sejarah, serta kunjungan pelajar.",1,1,0,0,337.12,711,1214000,1040000,420000,30000,2704000,melebihi budget,0
BDG-TRV-0020,Jakarta,3 hari 2 malam,3,2,1903000,standar,motor,standar,wisata kota,kuliner,Jalan Braga,wisata kota,Kota Bandung,-6.9175,107.6098,"-6.9175,107.6098","Jl. Braga, Braga, Sumur Bandung, Kota Bandung","Jalan Braga adalah kawasan wisata kota dengan nuansa klasik, bangunan bersejarah, kafe, kuliner, dan spot foto yang populer di Bandung.",1,1,0,0,303.56,493,850000,640000,420000,10000,1920000,melebihi budget,0
