nama_wisata;class_name;image_path;width;height;min_side;split
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_001.jpg;275;183;183;train
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_018.jpg;261;193;193;train
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_016.jpg;275;183;183;train
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_002.jpg;267;189;189;train
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_009.jpg;512;307;307;train
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_006.jpg;1052;728;728;train
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_012.jpg;269;187;187;train
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_004.jpg;278;181;181;train
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_019.jpg;275;183;183;train
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_017.jpg;300;168;168;train
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_014.jpg;300;168;168;train
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_003.jpg;756;1008;756;train
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_010.jpg;600;338;338;train
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_020.jpg;550;309;309;train
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_005.jpg;610;409;409;valid
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_013.jpg;1200;674;674;valid
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_008.jpg;800;445;445;valid
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_011.jpg;770;435;435;valid
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_015.jpg;275;183;183;test
Alun-Alun Bandung;alun_alun_bandung;furap_image_dataset/alun_alun_bandung/alun_alun_bandung_007.jpg;1200;675;675;test
Bandung Indah Plaza;bandung_indah_plaza;furap_image_dataset/bandung_indah_plaza/bandung_indah_plaza_001.jpg;720;540;540;train
Bandung Indah Plaza;bandung_indah_plaza;furap_image_dataset/bandung_indah_plaza/bandung_indah_plaza_018.jpg;550;413;413;train
